type;lat;lon;address;n;services;fuel;region
1;46.402767;47.9925860;Астраханская область, Наримановский район, село Солянка, улица Магистральная, 30;26;mag, cafe, cls,  wc, pum;dt, ai95, ai92;8
1;46.407783;48.133633;Астраханская область, город Астрахань, Ленинский район, улица Краматорская, 147;27;mag, pum, cls;dt, ai95, ai92;8
1;46.344283;47.985267;Астраханская область, город Астрахань, Трусовский район, переулок Ульяновский, 27;28;mag, pum, cls;dt, ai95, ai92;8
1;46.401783;48.105417;Астраханская область, город Астрахань, Ленинский район, улица Автозаправочная, 5;29;mag, pum, wc;dt, ai95, ai92;8
1;46.361594;48.073758;Астраханская область, город Астрахань, Кировский район, улица Б. Алексеева, 49 Б;30;mag, pum, cls, wc;dt, ai95, ai92;8
1;46.5195;48.075;Астраханская область, Наримановский район, село Тулугановка, улица Баксанская, 4 ;31;mag;ai95, ai92;8
1;46.357758;48.095991;Астраханская область, город Астрахань, Ленинский район, улица Славянская, 1 Д;32;wc, mag, cafe, cls, pum;dt, ai95, ai92;8
1;47.415589;47.225024;Астраханская область, Харабалинский район, город Харабали, улица Дорожная, 3;33; mag;dt, ai95, ai92;8
1;46.359867;48.0635;Астраханская область, город Астрахань, Кировский район, улица Минусинская, 1;34;wc, mag, cafe, pum, cls;dt, ai95, ai92;8
1;46.334867;47.9788;Астраханская область, город Астрахань, Трусовский район, пл. Заводская, 94 Б;35;wc, mag;dt, ai95, ai92;8
2;46.376;48.001833;Астраханская область,  Наримановский район, поселок Пригородный, Николаевское шоссе, 1 Б;36;wc, mag, cafe, pum, cls;dt, ai95, ai92;8
1;46.402817;48.10622;Астраханская область, город Астрахань, Ленинский район, улица Автозаправочная, 8;37;wc, mag,  pum, cls;dt, ai95, ai92;8
1;46.33795;48.041583;Астраханская область, город Астрахань, Советский район, улица Ахшарумова, 90 Б;38;wc, mag,  pum, cls;dt, ai95, ai92;8
1;46.3394;48.0219;Астраханская область,  город Астрахань, Советский район, улица Боевая/Бакинская, 32/21 А;39;wc, mag,  pum, cls;dt, ai95, ai92;8
1;46.35885;48.055;Астраханская область, город Астрахань,  Ленинский район, улица Академика Королева, 43;40;wc, mag,  pum, cls;ai95, ai92;8
1;46.3834;48.092833;Астраханская область, город Астрахань, Ленинский район, улица Новороссийская, 4;41;mag;dt, ai95, ai92;8
1;46.46785;47.958367;Астраханская область, город Астрахань, Трусовский район, улица Автострадная, 10;42;wc, mag;dt, ai95, ai92;8
1;46.368083;47.991683;Астраханская область, город Астрахань, Трусовский район, улица Молдавская, 102 А;43;mag;ai95, ai92;8
1;46.316539;48.043386;Астраханская область,  город Астрахань , улица Рождественского, 2 А;438;;dt, ai95, ai92, sg;8
2;46.758331;48.046115;"Астраханская область, Красноярский район, поселок Аксарайский, в 180 м на северо-запад от стац.поста ГИБДД ""Тайга-1""";439;;dt, ai95, ai92;8
3;46.342773;48.118124;Астраханская область, город Астрахань, улица Началовская, 2 А;3001;;dt, ai95, ai92;8
3;46.390039;48.105915;Астраханская область, город Астрахань, улица Соликамская, 78;3002;;dt, ai95, ai92;8
2;51.191528;37.430666;Белгородская область, село Евгеньевка;44;wc, mag, cafe, glass, pum, cls;dt, ai95, ai92;7
2;50.583562;38.714406;Белгородская область, Алексеевский район,  пересечение дороги Белгород-Павловск и подъезда к город Алексеевка;45;mag;dt, ai95, ai92;7
2;50.638884;36.443189;Белгородская область, Белгородский район, автодорога  Белгород-Ахтырка, 12 км;46;wc, mag, cafe, glass, pum, cls;dt, ai95, ai92;7
1;50.54143;36.658461;Белгородская область, город Белгород, улица Волчанская, 201;47;wc, mag, glass, pum, cls;dt, ai98, ai95, ai92;7
2;50.537428;36.472483;Белгородская область, Белгородский район, автодорога Москва-Харьков, 678 км слева ;49;wc, mag, cafe, glass, pum, cls;dt, ai98, ai95, ai92;7
1;50.631146;36.571989;Белгородская область, город Белгород, проспект Б. Хмельницкого, 137 И;50;wc, mag, glass, pum, cls;dt, ai98, ai95, ai92;7
2;50.648199;36.56822;Белгородская область, Белгородский район, в границах ЗАО Агро-Хохлово;51;wc, mag, glass, pum, cls;dt, ai95, ai92, ai98 ;7
1;50.591465;36.600493;Белгородская область, город Белгород, улица Белгородского полка, 6;52;wc, mag;dt, ai98, ai95, ai92;7
1;50.613918;36.533484;Белгородская область, город Белгород, улица Сумская, 104;53;wc, mag, glass, pum, cls;dt, ai98, ai95, ai92;7
1;50.610202;36.613311;Белгородская область, город Белгород, улица Калинина, 94 А;55;wc, mag, glass, pum, cls;dt, ai98, ai95, ai92;7
1;50.602855;36.561342;Белгородская область, город Белгород, улица Сумская, 8 А;56;mag;dt, ai98, ai95, ai92;7
